speech_recognition,start,end,max_confidence,mean_confidence
speech,0.25,9.3,0.9696752429008484,0.9518423676490784
speech,10.25,15.3,0.9501588940620422,0.9241533875465393
speech,29.25,34.3,0.9832363724708557,0.9644333124160767
speech,35.25,87.3,0.978909432888031,0.9612979292869568
speech,88.25,114.3,0.9815295338630676,0.9679407477378845
speech,115.25,175.3,0.9573783874511719,0.926500678062439
speech,176.25,192.93,0.8603271842002869,0.8076545596122742
speech,193.25,232.3,0.9792974591255188,0.9655818939208984
speech,235.25,241.3,0.9999884366989136,0.9998829364776611
speech,271.25,275.3,0.9907557368278503,0.977925717830658
speech,276.25,296.3,0.9709148406982422,0.9498558044433594
speech,297.25,328.3,1.0,1.0
speech,329.25,340.93,0.9575682282447815,0.9213155508041382
speech,341.25,362.3,0.9018979668617249,0.8635612726211548
speech,363.25,376.3,1.0,1.0
speech,377.25,380.3,0.8758523464202881,0.845406711101532
speech,381.25,384.3,1.0,1.0
speech,385.25,396.3,1.0,0.9999969005584717
speech,397.25,398.3,0.9397740364074707,0.9027606248855591
speech,399.25,402.3,1.0,1.0
speech,403.25,405.3,0.9797542691230774,0.9570939540863037
speech,408.25,414.3,0.9999939203262329,0.9998774528503418
speech,443.25,445.3,0.9245585203170776,0.9073679447174072
