speech_recognition,start,end,max_confidence,mean_confidence
speech,1.25,12.3,0.9656345248222351,0.9360505938529968
speech,42.25,52.3,0.9999957084655762,0.9998770356178284
speech,54.25,67.3,0.9913412928581238,0.9781273007392883
speech,70.25,80.3,1.0,1.0
speech,81.25,89.3,0.9999973773956299,0.9999757409095764
speech,90.25,94.3,0.9398245811462402,0.9079518914222717
speech,95.25,109.3,1.0,1.0
speech,110.25,128.93,0.9838743209838867,0.9698794484138489
speech,129.25,131.93,0.9999324083328247,0.9996521472930908
speech,132.25,147.61,1.0,1.0
speech,148.25,162.3,0.9834278225898743,0.9598040580749512
speech,163.25,170.3,0.9999643564224243,0.9998153448104858
speech,171.25,189.61,0.9335477352142334,0.9090467095375061
speech,190.25,197.3,0.8237314224243164,0.7681694626808167
speech,198.25,209.3,0.9999977350234985,0.9998795390129089
speech,211.25,232.3,0.9999641180038452,0.9997939467430115
speech,233.25,257.3,0.9616760611534119,0.9422082304954529
speech,258.25,271.3,1.0,0.9999994039535522
speech,273.25,278.3,0.9998996257781982,0.9995240569114685
speech,279.25,280.3,0.9133628010749817,0.8773163557052612
speech,303.25,306.3,0.9996973276138306,0.997348964214325
speech,306.57,307.3,0.6108116507530212,0.6084412336349487
speech,308.25,360.3,0.9920253753662109,0.9848934412002563
speech,361.25,393.3,0.97878497838974,0.9483537077903748
speech,393.57,404.3,0.7537521123886108,0.7241668105125427
speech,407.25,413.3,0.9695306420326233,0.9403727054595947
speech,413.57,413.93,0.6335440874099731,0.6335442662239075
speech,443.25,445.3,0.9828957319259644,0.9703936576843262
