speech_recognition,start,end,max_confidence,mean_confidence
speech,1.25,1.61,0.4082976281642914,0.408297598361969
speech,3.25,11.610000000000001,0.7704368829727173,0.7393321394920349
non-speech,12.25,12.610000000000001,0.5172314047813416,0.517231285572052
non-speech,12.89,15.3,0.5042513012886047,0.5042513012886047
non-speech,16.25,17.61,0.8477318286895752,0.7384902834892273
non-speech,19.25,22.61,0.7877870798110962,0.6584121584892273
non-speech,23.25,24.3,0.7747808694839478,0.5637686252593994
speech,26.25,27.61,0.7472481727600098,0.74315345287323
non-speech,28.25,30.61,0.7080056667327881,0.5261219143867493
non-speech,32.25,33.3,0.599496603012085,0.5070586204528809
non-speech,34.25,34.61,0.5078316926956177,0.5078316926956177
