speech_recognition,start,end,max_confidence,mean_confidence
speech,0.25,5.3,0.9696752429008484,0.9518423676490784
speech,5.57,9.3,0.8581157326698303,0.8576163053512573
speech,10.25,14.3,0.9501588940620422,0.9241533875465393
speech,14.57,14.930000000000001,0.8360598087310791,0.8360597491264343
speech,29.25,34.3,0.9832363724708557,0.9644333124160767
speech,35.25,51.93,0.978909432888031,0.9612979292869568
speech,52.25,77.3,0.9029215574264526,0.8628218173980713
speech,77.57,87.3,0.8951811194419861,0.8951658606529236
speech,88.25,98.92999999999999,0.9815295338630676,0.9679407477378845
speech,99.25,112.92999999999999,0.961367666721344,0.945334255695343
speech,113.25,114.3,1.0,1.0
speech,115.25,122.92999999999999,0.9573783874511719,0.926500678062439
speech,123.25,128.3,0.9997367262840271,0.9976223111152649
speech,128.57,137.93,0.8393561840057373,0.8344435691833496
speech,138.25,142.93,0.9999991655349731,0.9999741315841675
speech,143.25,143.93,0.8868550062179565,0.8689934015274048
speech,144.57,159.3,0.820978581905365,0.8137871026992798
speech,160.25,161.93,0.9850631952285767,0.973283052444458
speech,162.25,175.3,0.9120261669158936,0.8818610310554504
speech,176.25,176.93,0.8603271842002869,0.8359461426734924
speech,177.25,192.61,0.999982476234436,0.9997109174728394
speech,193.25,194.93,0.9792974591255188,0.9655818939208984
speech,195.25,232.3,1.0,1.0
speech,235.25,241.3,0.9999884366989136,0.9998829364776611
speech,271.25,273.93,0.9907557368278503,0.977925717830658
speech,274.25,275.3,0.9999808073043823,0.9994828701019287
speech,276.25,285.3,0.9709148406982422,0.9498558044433594
speech,285.57,296.3,0.8259113430976868,0.8201950192451477
speech,297.25,303.3,1.0,1.0
speech,303.57,307.93,0.8935033679008484,0.8758731484413147
speech,308.25,327.93,1.0,1.0
speech,329.25,340.61,0.9575682282447815,0.9213155508041382
speech,341.57,344.3,0.9018979668617249,0.8978743553161621
speech,344.57,354.93,0.8725988864898682,0.8699424862861633
speech,355.25,362.3,0.9999983310699463,0.9999803304672241
speech,363.25,365.93,1.0,1.0
speech,366.25,376.3,0.9999998807907104,0.9999964833259583
speech,377.25,377.93,0.8758523464202881,0.8746148943901062
speech,378.25,380.3,0.9999938011169434,0.9998128414154053
speech,381.25,384.3,1.0,1.0
speech,385.25,386.93,1.0,0.9999969005584717
speech,387.25,387.93,0.897443950176239,0.8893052339553833
speech,388.25,388.93,0.885103166103363,0.8820919990539551
speech,389.25,394.3,0.9703727960586548,0.9548747539520264
speech,394.57,396.3,0.8653277158737183,0.8648738265037537
speech,397.25,398.3,0.9397740364074707,0.9027606248855591
speech,399.25,402.3,1.0,1.0
speech,403.25,405.3,0.9797542691230774,0.9570939540863037
speech,408.25,413.3,0.9999939203262329,0.9998774528503418
speech,443.25,445.3,0.9245585203170776,0.9073679447174072
